分类,名称 / 机构,主要数据内容与适用场景,API 类型与接入方式,是否需要认证 / 典型限制,官方入口与文档,真实性,知识案例
文本,中国临床试验注册中心（ChiCTR）,中国地区临床试验注册信息：干预性试验的 WHO 注册数据集，中英双语；适合：查询中国境内的临床试验信息,目前主要是 Web 检索 + 数据导出/文件下载，未在 WHO ICTRP 注册信息中看到公开 REST API 说明,注册与公开查询免费；暂无官方开放的编程接口供自动检索（有第三方社区自行封装搜索服务的示例）,中文官网：https://www.chictr.org.cn<br>WHO 注册库介绍：https://www.who.int/tools/clinical-trials-registry-platform/network/primary-registries/chinese-clinical-trial-registry-(chictr),是,"【中国临床试验注册中心(ChiCTR)】
说明: 无公开REST API，需通过网页查询

注册信息示例:
注册号: ChiCTR2000029308
注册题目: 瑞德西韦治疗新型冠状病毒肺炎的随机对照试验
研究目的: 评估瑞德西韦治疗COVID-19的有效性和安全性
研究类型: 干预性研究
研究设计: 随机、双盲、安慰剂对照
入选标准: 确诊COVID-19患者，发病12天内
主要指标: 临床改善时间
样本量: 453例
研究状态: 已完成

查询地址: https://www.chictr.org.cn/searchproj.html"
文本,中华医学会及相关指南/共识（通过医学网站聚合发布）,各专科临床指南、专家共识、诊疗路径等，是国内临床实践最权威的文本来源之一；适合做专科诊疗决策支持、按指南的问答（例如“某病指南推荐用药及证据等级”）。,无统一的官方 API；通常以 PDF/HTML 形式发布，并通过医脉通、医视屏、医境等第三方医学网站聚合，可下载后做本地切分与向量化。,指南/共识版权归学会/期刊所有，仅供内部使用或科研使用；对外提供基于指南的问答服务需评估版权及使用合规，必要时取得授权。,各专科指南可通过中华医学会官网（https://www.cma.org.cn）以及常见医学资讯网站检索；具体需按专科和年份查找。,是,"【中华医学会临床指南】
说明: 无统一API，需下载PDF后处理

指南示例:
《中国2型糖尿病防治指南(2020年版)》
发布单位: 中华医学会糖尿病学分会

核心内容:
1. 诊断标准
   - 空腹血糖≥7.0mmol/L
   - 或OGTT 2h血糖≥11.1mmol/L
   - 或HbA1c≥6.5%

2. 治疗路径
   一线用药: 二甲双胍
   血糖控制目标: HbA1c<7.0%

3. 并发症筛查
   - 每年检查眼底
   - 每年检查尿微量白蛋白

获取渠道: 中华医学会官网、医脉通、丁香园等"
文本,中国知网（CNKI，China National Knowledge Infrastructure）,中文期刊论文、博硕士学位论文、会议论文、报纸、年鉴、专利、标准等；适合：学术文献问答、文献综述辅助、循证医学/社科政策研究、科研情报分析等 RAG 场景,官方并未提供对公众开放的通用全文检索/下载 API；主要通过：- Web 检索 + 浏览器下载；- 机构账号统一认证访问。网络上有第三方非官方封装，例如 GitHub 上的 MagicCNKI 等项目，基于 search.cnki.net 的 Web 搜索接口做 Python 封装，用于检索，但这些并非官方 API，也不保证稳定性,需要机构订购账号或个人账号；使用条款中一般禁止大规模自动化抓取、批量下载和重新分发。知网本身近年来因作品授权问题多次被诉并败诉，版权风险较高，第三方未经授权的爬取/解析在商业产品中使用风险更大。,官方入口：https://www.cnki.net<br>第三方非官方封装示例（MagicCNKI）：https://github.com/1049451037/MagicCNKI【,是,"【中国知网(CNKI)】
说明: 无公开API，需机构账号访问

可检索内容:
1. 期刊论文
   示例: 《二甲双胍治疗2型糖尿病的Meta分析》
   来源: 中华内分泌代谢杂志
   
2. 学位论文
   示例: 《基于深度学习的医学影像分析研究》
   授予单位: 清华大学
   
3. 会议论文、专利、标准等

第三方封装: 
- MagicCNKI: https://github.com/1049451037/MagicCNKI
- 仅限检索，不含全文下载"
文本,万方数据（Wanfang Data）,中文期刊（尤其理工、医学）、学位论文、会议论文、标准、专利、法规、地方志等；适合：工程技术、医学、农学等领域的专业问答、证据检索、标准与规范查询,官方设有“万方数据开放平台”，提供统一的 API 目录与应用管理（apps.wanfangdata.com.cn），提供文献查询、选题 API 等接口，但并非对公众完全开放的“免费公共 API”，而是基于账号/应用的接入方式，通常面向合作方或机构用户,要在开放平台注册、创建应用，部分接口可能显示“无认证”，但整体使用仍受平台服务条款和商业授权约束，禁止大规模重新分发或超出授权范围的文本挖掘/训练；版权由期刊社/出版社/作者共同所有，未经授权的商业再利用风险较高,万方数据知识服务平台：https://www.wfdata.com<br>万方数据开放平台 API 目录：https://apps.wanfangdata.com.cn/open/market/apis,是,"【万方数据开放平台】
说明: 需注册万方开放平台并创建应用

API接口示例:
1. 文献检索API
   接口: /api/search/literature
   参数: keyword, type, page, size
   
2. 文献详情API
   接口: /api/literature/detail
   参数: id, type

数据示例:
标题: 新型冠状病毒肺炎诊疗进展
作者: 张三, 李四
来源: 中华医学杂志
年份: 2020
关键词: COVID-19, 诊断, 治疗

申请地址: https://apps.wanfangdata.com.cn/open/"
文本,Huatuo-26M / 深圳市大数据研究院、FreedomIntelligence,目前规模最大的中文医疗问答数据集，约 2600 万条 QA 对，覆盖多科室、多疾病；适合训练或微调医疗问答模型，也可以作为检索增强（RAG）的候选问答池。,无官方在线 API；提供数据集下载（压缩文件），可在本地构建向量索引或用于模型训练/评测。,一般按数据集平台的许可使用（多为研究用途）；不可直接商用或对外提供大规模下载服务，需遵守使用条款。,GitHub 项目：https://github.com/FreedomIntelligence/Huatuo-26M<br>深圳市大数据研究院数据页：https://dataset.sribd.cn/huatuo-26M.html<br>OpenDataLab 下载页：https://opendatalab.com/OpenDataLab/Huatuo-26M/download,是,"【Huatuo-26M 中文医疗问答数据集】
数据规模: 约2600万条问答对
来源: 深圳市大数据研究院 / FreedomIntelligence

数据示例:
问: 高血压有什么症状？
答: 高血压常见症状包括：
1. 头痛，多为后脑勺或太阳穴部位
2. 头晕，尤其是体位变化时
3. 心悸，心跳加快
4. 耳鸣
5. 视力模糊
6. 颈项板紧
注意：早期高血压可能无明显症状，需定期测量血压

问: 糖尿病能吃什么水果？
答: 糖尿病患者宜选择低GI水果：
1. 苹果（GI=36）
2. 梨（GI=36）
3. 樱桃（GI=22）
4. 草莓（GI=29）
5. 柚子（GI=25）
每次食用约100-150g，避免空腹食用

下载: https://github.com/FreedomIntelligence/Huatuo-26M"
文本,huatuo_knowledge_graph_qa / FreedomIntelligenc,基于医疗知识图谱构建的问答数据集，约 79.8 万条，问题通过模板自动生成，答案来自图谱；适合训练/评测知识图谱驱动的医疗 QA 系统，也可作为 RAG 评测集。,官方在线 API；提供数据集文件下载，可在本地建索引或用于模型训练。,为研究用途，需按平台/作者声明的许可使用；通常要求在论文或项目中引用。,Hugging Face 数据集页：https://huggingface.co/datasets/FreedomIntelligence/huatuo_knowledge_graph_qa<br>OpenDataLab 介绍页：https://opendatalab.com/OpenDataLab/huatuo-knowledge-graph-qa<br>数据集卡片（中文）：https://www.atyun.com/datasets/info/FreedomIntelligence/huatuo_knowledge_graph_qa.html,是,"【Huatuo知识图谱问答数据集】
数据规模: 约79.8万条问答
特点: 基于医疗知识图谱自动生成

数据示例:
Q: 肺炎的常见症状有哪些？
A: 肺炎的常见症状包括：发热、咳嗽、咳痰、胸痛、呼吸困难、乏力

Q: 阿莫西林可以治疗什么疾病？
A: 阿莫西林可用于治疗：上呼吸道感染、中耳炎、鼻窦炎、咽炎、扁桃体炎、急性支气管炎、肺炎、泌尿系统感染、皮肤软组织感染

Q: 高血压患者应该避免哪些食物？
A: 高血压患者应避免：高盐食物、腌制食品、高脂肪食物、油炸食品、酒精、浓茶、咖啡

下载: https://huggingface.co/datasets/FreedomIntelligence/huatuo_knowledge_graph_qa"
图谱,Disease Ontology（DO / DO‑KB）美国华盛顿大学,人类疾病分类本体，提供疾病概念、层级及与其他编码（ICD‑10、MeSH、UMLS、SNOMED CT 等）的交叉映射；适合做疾病标准化、疾病层级导航和与其他编码系统的桥接,提供公开 REST API（Swagger/OpenAPI 文档），可按疾病名、子串、数值范围、关系等查询；同时提供 DO‑KB SPARQL 端点（支持联邦查询）和在线 SPARQL Sandbox。,公开 API 和 SPARQL 端点无需 Key，但可能有频控；本体开放获取，按 OBO/CC‑BY 许可使用；需在论文或产品中引用 DO。,DO‑KB API 文档：https://disease-ontology.org/do-kb/api_doc<br>DO‑KB SPARQL Sandbox（含端点）：https://disease-ontology.org/do-kb/sparql,是,调用失败: 'str' object has no attribute 'get'
图谱,Orphanet Rare Diseases Ontology（ORDO）,罕见病及其与基因、表型、流行病学等信息的本体；适合做罕见病知识问答、基因–罕见病关联查询、与 DO/EFO/HPO 联合查询，另外有中文版,提供通过 Orphanet / EBI Ontology Lookup Service 等方式访问本体；有 SPARQL 端点用于 ORDO 上的复杂查询（常用于与其他资源做联邦查询）。,公开 SPARQL 端点无需 Key，但遵循 EBI/ELIXIR 使用政策；Orphanet 数据对研究和教育用途开放，商业使用需遵守 Orphanet 许可与授权规则。,Orphanet Ontologies 页面：https://www.orphadata.com/_ontologies/<br>ELIXIR 对 Orphanet 的描述（含 SPARQL）：https://elixir-europe.org/intranet/forms/rir-selection/sid358,是,"【Orphanet 罕见病本体(ORDO)】
说明: 可通过SPARQL端点或OLS API查询

罕见病示例:
Orphanet编号: ORPHA:558
疾病名称: Marfan syndrome (马凡综合征)
患病率: 1-5/10000
遗传方式: 常染色体显性遗传
致病基因: FBN1 (纤维蛋白-1基因)
临床特征:
- 骨骼系统: 身材高瘦、蜘蛛指/趾、漏斗胸或鸡胸
- 心血管: 主动脉根部扩张、二尖瓣脱垂
- 眼部: 晶状体脱位、近视

SPARQL端点: https://www.ebi.ac.uk/rdf/services/sparql
OLS查询: https://www.ebi.ac.uk/ols4/ontologies/ordo"
图谱,DrugCentral,开放的药物信息数据库，包含活性成分、适应症、靶点、机制、药物相互作用等；适合做开源/可商用场景的药物知识问答。,提供 Postgres 数据库 dump 下载，可自建服务；社区提供 BioClients 封装（Python 等）对自建 DB 或公共实例做查询；并非典型的 SaaS API。,数据开源、免费获取；商业使用友好；但你需要自己建库与维护接口，或者使用社区封装。,DrugCentral 下载页：https://drugcentral.org/download<br>BioClients 的 DrugCentral 封装文档：https://github.com/jeremyjyang/BioClients/blob/master/doc/drugcentral.md,是,"【DrugCentral 药物数据库】
说明: 需下载数据库dump文件自建服务

数据示例(Metformin 二甲双胍):
Drug ID: 1202
通用名: Metformin
商品名: Glucophage, Fortamet, Glumetza
分子式: C4H11N5
分子量: 129.16 g/mol
作用机制: 激活AMPK，抑制肝糖异生，增加外周组织对葡萄糖的利用
适应症: 2型糖尿病
靶点: PRKAA1, PRKAA2 (AMP-activated protein kinase)
不良反应: 胃肠道反应、乳酸酸中毒(罕见)
相互作用: 与碘造影剂合用可能增加乳酸酸中毒风险

下载: https://drugcentral.org/download"
图谱,PrimeKG（Precision Medicine Knowledge Graph）,面向精准医学的多模态知识图谱，整合了约 20 个高引用生物医学数据库（疾病、药物、蛋白、通路等）；适合做复杂医学问答与多跳推理。,提供 Neo4j 导出与 RDF 版本，可自建 SPARQL 端点；论文与项目说明将 PrimeKG 转为 RDF 并搭建 SPARQL 端点，便于集成到 RAG 或 KGQA 系统中,数据开源，按 CC BY 或类似许可使用；SPARQL 端点通常需要自己部署或使用官方/社区提供的公共端点（如有），需注意频率与使用政策。,论文（PrimeKG 框架）：https://arxiv.org/pdf/2311.06524<br>介绍 PrimeKG 的 QA 数据集与用法：https://aihub.org/2025/01/17/generating-a-biomedical-knowledge-graph-question-answering-dataset/,是,"【PrimeKG 精准医学知识图谱】
说明: 需下载数据并自建SPARQL端点

知识图谱统计:
- 节点数: ~129,000
- 边数: ~8,000,000
- 疾病: ~17,000
- 药物: ~7,900
- 基因/蛋白: ~27,000
- 表型: ~15,000

关系示例:
1. 疾病-基因关联
   肺癌 - associated_with - EGFR, KRAS, ALK, TP53

2. 药物-靶点关系
   吉非替尼 - targets - EGFR

3. 药物-适应症
   奥西替尼 - indication - EGFR突变阳性非小细胞肺癌

数据来源: 整合DrugBank, DisGeNET, CTD, SIDER等20+数据库
下载: https://github.com/mims-harvard/PrimeKG"
图谱,UMLS Terminology Services（UTS）/ FHIR UMLS API,UMLS 整合了大量医学术语与编码（SNOMED CT、MeSH、LOINC、ICD‑10、RxNorm 等），是“超级术语词典”；适合做术语对齐、编码验证和跨系统术语桥接。,提供 REST 术语服务（UTS）与 FHIR 格式的 Terminology Service 端点，可进行 ValueSet/$expand、CodeSystem/$lookup、$validate-code 等操作；需要注册账号并获取 API Key。,需要免费申请 UMLS License 与 API Key；调用需要 Basic Auth（Key 作为用户名）；有调用频次与使用政策，不得批量分发原始 UMLS 数据。,UMLS Terminology Services：https://uts.nlm.nih.gov<br>关于 UMLS FHIR API 的论文（介绍 REST/FHIR 接口）：https://www.mdpi.com/1999-5903/12/11/199,是,"【UMLS 统一医学语言系统】
说明: 需要申请UMLS License和API Key

术语映射示例(糖尿病):
UMLS CUI: C0011849
概念名称: Diabetes Mellitus

编码映射:
- SNOMED CT: 73211009
- ICD-10-CM: E08-E13
- MeSH: D003920
- LOINC: LP32697-2
- RxNorm: (related to antidiabetic drugs)

语义类型: Disease or Syndrome
定义: A metabolic disorder characterized by abnormally high blood sugar levels

FHIR服务端点:
- CodeSystem/$lookup: 查询编码详情
- ValueSet/$expand: 展开值集
- ConceptMap/$translate: 术语转换

申请: https://uts.nlm.nih.gov/uts/signup-login"
图谱,CMeKG（中文医学知识图谱）/ 北京大学、郑州大学等学术团队,中文医学知识图谱，包含疾病、症状、药品、检查、手术等实体及关系；适合做中文医疗问答、诊断推理、诊疗路径推荐等知识图谱 RAG。,无官方在线 HTTP API；以三元组/图数据形式提供，可导入 Neo4j 等图数据库；GitHub 提供本地工具包（实体识别、关系抽取等），可自行封装为内部 HTTP 服务。,免费、开放用于研究，需按论文要求引用；数据来自公开医学文本，一般不含个人敏感信息。,GitHub 工具：https://github.com/king-yyf/CMeKG_tools<br>天池数据集页：https://tianchi.aliyun.com/dataset/81506<br>构建方法论文：http://jcip.cipsc.org.cn/CN/Y2019/V33/I10/1,是,"【CMeKG 中文医学知识图谱】
说明: 需下载数据导入Neo4j等图数据库

图谱统计:
- 实体数: ~100万
- 关系数: ~500万
- 实体类型: 疾病、症状、药品、检查、手术等

知识三元组示例:
1. (糖尿病, 临床表现, 多饮)
2. (糖尿病, 临床表现, 多尿)
3. (糖尿病, 临床表现, 多食)
4. (糖尿病, 治疗药物, 二甲双胍)
5. (糖尿病, 并发症, 糖尿病视网膜病变)
6. (二甲双胍, 禁忌症, 肾功能不全)
7. (高血压, 常用检查, 血压测量)

工具包: https://github.com/king-yyf/CMeKG_tools
数据: https://tianchi.aliyun.com/dataset/81506"
图谱,医学知识图谱数据集（协和医院 + CMeKG）/ 国家科学数据中心等,融合协和医院部分真实电子病历的结构化实体和关系，并叠加 CMeKG 知识；适合做带有临床真实样本的科研型知识图谱 RAG（如疾病预测、临床路径分析）。,无官方在线 API；提供结构化数据文件下载，可导入图数据库或关系型数据库，进行本地查询。,需通过平台申请，签署数据使用协议；仅限科研使用，不得外泄患者信息或用于商业化。,数据集详情页（国家科学数据中心）：https://nbsdc.cn/general/dataDetail?id=666067f0195d266d328f21ce&type=1,是,"【协和医院+CMeKG知识图谱】
说明: 需通过国家科学数据中心申请，仅限科研使用

数据特点:
- 融合协和医院真实电子病历
- 叠加CMeKG知识图谱
- 包含临床实体和关系

数据内容示例:
1. 疾病-检查关联
   肺炎 -> 推荐检查 -> 胸部CT、血常规、C反应蛋白

2. 疾病-药物关联
   社区获得性肺炎 -> 一线治疗 -> 阿莫西林/克拉维酸钾

3. 症状-疾病关联
   发热+咳嗽+呼吸困难 -> 可能疾病 -> 肺炎、支气管炎

申请地址: https://nbsdc.cn/general/dataDetail?id=666067f0195d266d328f21ce"
图谱,CMKG（The first Chinese Medical Knowledge Graph）/ GitHub 开源项目,多模态中文医学知识图谱，基于爬取的公开医学网页数据整理成结构化表格；适合做知识补充、多模态医疗 NLP 研究。,无官方在线 API；提供表格/图谱形式的数据文件，可自行导入图数据库或关系型数据库查询。,开源，按许可证使用（一般为研究/非商业为主）；注意原始网页内容的版权合规。,GitHub 项目：https://github.com/WENGSYX/CMKG,待定,"【CMKG 中文医学知识图谱】
来源: GitHub开源项目
特点: 多模态，基于公开医学网页数据

数据示例:
实体类型: 疾病、药品、症状、检查、科室等

疾病知识卡片(高血压):
{
  ""疾病名称"": ""高血压"",
  ""别名"": [""原发性高血压"", ""血压高""],
  ""就诊科室"": ""心血管内科"",
  ""常见症状"": [""头痛"", ""头晕"", ""心悸"", ""耳鸣""],
  ""诊断标准"": ""收缩压≥140mmHg和/或舒张压≥90mmHg"",
  ""治疗方式"": [""生活方式干预"", ""药物治疗""],
  ""常用药物"": [""氨氯地平"", ""缬沙坦"", ""氢氯噻嗪""],
  ""并发症"": [""冠心病"", ""脑卒中"", ""肾病""],
  ""预防措施"": [""低盐饮食"", ""控制体重"", ""戒烟限酒""]
}

项目地址: https://github.com/WENGSYX/CMKG"
